,date,iso3166-2,RelativeHumiditySurface,SolarRadiation,Surfacepressure,TemperatureAboveGround,Totalprecipitation,UVIndex,WindSpeed
12592,2020-10-03,DE-RP,85.864094,1157770.751128,2290217.320607,11.167423000000042,0.004752,8.289568,3.835518
12593,2020-10-03,DE-SH,84.383676,819198.505865,2380265.5234580003,15.331039000000033,0.002794,5.615728,7.332106
12594,2020-10-03,DE-SL,87.067627,1680360.756793,2292436.110734,10.672033000000056,0.007935,11.0,4.468139
12595,2020-10-03,DE-SN,76.67005,8780002.121604,2302585.686227,15.806902999999977,0.000495,12.64601,4.127985
12596,2020-10-03,DE-ST,78.200652,5933201.5272160005,2349149.312431,15.810414000000037,0.0015199999999999999,11.833762,4.100409
12597,2020-10-03,DE-TH,82.734926,6123283.442198,2281907.4218599997,13.035577000000046,0.002242,10.657469,4.078277
12636,2020-10-04,DE-BB,73.698102,6572829.681773,2379986.2566529997,13.372516000000019,0.001048,12.52473,2.877844
12637,2020-10-04,DE-BE,69.411946,7064161.842657001,2384770.1381119997,13.952360999999996,5.9e-05,14.013986,3.3384910000000003
12638,2020-10-04,DE-BW,68.65312,7775060.881095,2266861.2517330004,11.336839000000055,0.0034240000000000004,15.915876999999998,4.216744
12639,2020-10-04,DE-BY,76.532539,8305471.622896001,2252775.367635,10.029201999999998,0.00056,15.319533999999999,2.7089
12640,2020-10-04,DE-HB,72.21159200000001,4413968.717949,2383218.016026,12.42243400000001,7.2e-05,9.871795,5.41656
12641,2020-10-04,DE-HE,73.448025,3668351.641256,2309318.096888,10.569268000000022,0.001784,9.745091,5.645258
12642,2020-10-04,DE-HH,71.954514,4440874.003788,2382476.219697,12.540820000000053,0.00010700000000000001,9.409091,3.8393309999999996
12643,2020-10-04,DE-MV,75.21535300000001,4443907.867876,2385031.380829,13.693588000000034,0.001661,9.601341,3.0131580000000002
12644,2020-10-04,DE-NI,72.261368,4293874.023026,2368617.427083,11.792859000000021,0.000267,9.286887,4.824515
12645,2020-10-04,DE-NW,75.15008900000001,3689066.690669,2337013.4772369997,11.28941900000001,0.0018559999999999998,10.255803,5.563966000000001
12646,2020-10-04,DE-RP,80.412367,4107226.996827,2302733.043138,10.37961400000006,0.004862,10.396668,5.854798000000001
12647,2020-10-04,DE-SH,76.82453100000001,5039671.896224,2384092.913204,12.487292000000025,0.000348,9.168007000000001,4.033467
12648,2020-10-04,DE-SL,84.20922900000001,4485617.324728,2305497.7710599997,10.048968000000059,0.009189,8.372283,6.865703999999999
12649,2020-10-04,DE-SN,70.768898,8798685.677419,2318257.133171,12.128333999999995,0.001837,15.129881,3.479747
12650,2020-10-04,DE-ST,69.82562,6812475.6160349995,2362945.3719200003,11.951437999999996,1.4999999999999999e-05,12.027584,3.7490040000000002
12651,2020-10-04,DE-TH,72.164101,7068807.982278999,2297428.10264,10.356977000000029,0.000241,10.781161,4.888253
12690,2020-10-05,DE-BB,84.670583,1491181.2059610002,2390708.690748,11.157760999999994,0.0021260000000000003,7.8629169999999995,2.5993630000000003
12691,2020-10-05,DE-BE,82.607663,1187381.2788459999,2395243.4300700002,11.711946000000012,0.00143,11.783217,3.145804
12692,2020-10-05,DE-BW,77.621725,3329048.616016,2281630.643575,10.296810999999991,0.006063000000000001,10.007627000000001,4.596553
12693,2020-10-05,DE-BY,78.544197,4043090.5010519996,2265646.613636,10.169613000000027,0.0035229999999999997,10.599096000000001,3.3226459999999998
12694,2020-10-05,DE-HB,74.608065,3878338.2115379996,2397330.208333,11.942522000000054,0.0011300000000000001,9.987179,4.256998
12695,2020-10-05,DE-HE,83.639331,3040896.7272369997,2322302.607632,10.113031000000035,0.0037549999999999997,6.962949000000001,4.709568
12696,2020-10-05,DE-HH,79.019696,3215940.431818,2395909.837121,10.927868000000046,0.0029809999999999997,10.234848,2.746433
12697,2020-10-05,DE-MV,83.276483,2882286.6274759998,2397688.106141,11.716561000000013,0.002088,5.847607,2.517702
12698,2020-10-05,DE-NI,76.710473,3411854.1753020003,2382212.645833,11.444065000000023,0.001416,8.853874000000001,3.8309029999999997
12699,2020-10-05,DE-NW,80.098496,1616778.462454,2351802.339644,11.105775000000051,0.002089,8.626549,4.575726
12700,2020-10-05,DE-RP,87.59675899999999,831773.763577,2317486.878322,10.12820000000005,0.00621,8.086077000000001,5.086151
12701,2020-10-05,DE-SH,81.369742,2840888.6066799997,2398184.515416,10.829129000000023,0.002671,6.807864,3.432672
12702,2020-10-05,DE-SL,91.18306899999999,310369.46824,2320655.445652,9.923876000000007,0.011341,8.807065,6.292221
12703,2020-10-05,DE-SN,80.257886,1040384.175244,2328264.618739,10.858187999999984,0.003333,8.132427999999999,3.379756
12704,2020-10-05,DE-ST,75.03881,2156170.08459,2374134.650975,11.411633000000052,0.003048,8.062891,2.735744
12705,2020-10-05,DE-TH,76.748663,4564385.086287,2308373.241318,10.537437000000011,0.002436,9.822074,4.177163
12744,2020-10-06,DE-BB,79.82746,2034364.7457,2388221.7058119997,12.389662999999985,0.002777,8.078082,3.8697790000000003
